file_name,segment_id,gt_type,gt_color,bbox_x1,bbox_y1,bbox_x2,bbox_y2
00M40S_1678086040_12_jpg.rf.d41881bb5616aa275b1599bf53ebadc5.jpg,1678086040,sweatshirt,black,1,326,790,720
00M40S_1678086040_13_jpg.rf.cbef39b8ff7a6a4cad348d5f934ad75b.jpg,1678086040,sweatshirt,black,0,301,792,720
00M40S_1678086040_14_jpg.rf.519c1c5061e8249f2888767ad2eceed5.jpg,1678086040,sweatshirt,black,17,284,813,720
00M40S_1678086040_16_jpg.rf.a2dab19a13a1257e27f8d69268120bae.jpg,1678086040,sweatshirt,black,15,234,808,567
00M40S_1678086040_17_jpg.rf.1cf16fb37abad76724362c901c1728d9.jpg,1678086040,sweatshirt,black,13,299,808,555
00M40S_1678086040_19_jpg.rf.b77a8a7ad5227a22ad69fabaec8b4363.jpg,1678086040,sweatshirt,black,14,302,807,555
00M40S_1678086040_1_jpg.rf.9f85fcf47569a5e1a6d41718b27ecf2a.jpg,1678086040,sweatshirt,black,20,278,811,720
00M40S_1678086040_21_jpg.rf.8c96f3a8fa9c82892f8947dd3a6d858d.jpg,1678086040,sweatshirt,black,1,304,806,556
00M40S_1678086040_22_jpg.rf.54d5f7dbb3d14a68fde4f8dfff87cc2e.jpg,1678086040,sweatshirt,black,0,297,806,557
00M40S_1678086040_23_jpg.rf.b44f1a411e61607b8d87b4373633c56f.jpg,1678086040,sweatshirt,black,0,303,791,549
00M40S_1678086040_25_jpg.rf.98a6e41f786de2b3370682435cdab9e8.jpg,1678086040,sweatshirt,black,197,1,441,391
00M40S_1678086040_27_jpg.rf.0078acd64faf9f390e42461834b2087e.jpg,1678086040,sweatshirt,black,56,199,680,348
00M40S_1678086040_29_jpg.rf.d5c37172a6092ea6d8739f3ca3e79fee.jpg,1678086040,sweatshirt,black,37,292,808,650
00M40S_1678086040_2_jpg.rf.b597faad6e346b7af70bb3d4893523b0.jpg,1678086040,sweatshirt,black,10,300,502,720
00M40S_1678086040_30_jpg.rf.82bb503c1a744623ca51c0dea16ee4f7.jpg,1678086040,sweatshirt,black,37,298,805,651
00M40S_1678086040_32_jpg.rf.933b546dac806f85d82b4db96074ba7e.jpg,1678086040,sweatshirt,black,26,277,798,651
00M40S_1678086040_33_jpg.rf.291e8aef3c531928d7b7aee102899d13.jpg,1678086040,sweatshirt,black,15,297,987,655
00M40S_1678086040_37_jpg.rf.06f2fa4a5d2dd46c51a7a6ad8d5f9423.jpg,1678086040,sweatshirt,black,734,160,1128,451
00M40S_1678086040_38_jpg.rf.ce09cb6539eab6e3d340878f8d759356.jpg,1678086040,sweatshirt,black,952,318,1268,517
00M40S_1678086040_3_jpg.rf.ceb98b4213a8d7f90350246358da2750.jpg,1678086040,sweatshirt,black,9,305,601,719
00M40S_1678086040_42_jpg.rf.b04a7929a20be728096d9650c0ddeb6f.jpg,1678086040,sweatshirt,black,0,4,625,493
00M40S_1678086040_44_jpg.rf.a3ec480da6552a1d8cdb713daad8a667.jpg,1678086040,sweatshirt,black,0,353,524,719
00M40S_1678086040_45_jpg.rf.7234a51d950f516a1113e0c08dc2fb36.jpg,1678086040,sweatshirt,black,18,316,588,720
00M40S_1678086040_46_jpg.rf.9ae2ba01e7dfefb1f6cd1c2ac3ba6bd0.jpg,1678086040,sweatshirt,black,15,306,501,720
00M40S_1678086040_47_jpg.rf.40175473ee2f0c4c106c2259f335451e.jpg,1678086040,sweatshirt,black,10,308,446,720
00M40S_1678086040_4_jpg.rf.1adead048ac73c8de3f58117fb696f4b.jpg,1678086040,sweatshirt,black,9,132,502,720
00M40S_1678086040_5_jpg.rf.0f77f224f0a15616a7f99355a6d3078b.jpg,1678086040,sweatshirt,black,63,0,619,636
00M40S_1678086040_9_jpg.rf.21b1884665c640a29cce0f6dd72a6098.jpg,1678086040,sweatshirt,black,0,312,839,720
00M40S_1678089640_10_jpg.rf.fe752c16c8d8d31e93ac24a340fcd6df.jpg,1678089640,sweatshirt,black,0,274,745,593
00M40S_1678089640_12_jpg.rf.e3187239e09f97535b564b34c759859e.jpg,1678089640,sweatshirt,black,0,285,748,569
00M40S_1678089640_13_jpg.rf.c8ee3c1d853adcb4e878d0a684043be0.jpg,1678089640,sweatshirt,black,0,249,828,720
00M40S_1678089640_14_jpg.rf.75eb760083a9000999cbda359c142ceb.jpg,1678089640,sweatshirt,black,0,330,804,720
00M40S_1678089640_15_jpg.rf.ee444614957ce9ca5f3dea3415c84a4c.jpg,1678089640,sweatshirt,black,0,295,805,720
00M40S_1678089640_16_jpg.rf.e1419348bd18e7fa010d87f51bd6cbf4.jpg,1678089640,sweatshirt,black,0,303,806,719
00M40S_1678089640_17_jpg.rf.b4f263abe3350a93801af177e019877c.jpg,1678089640,sweatshirt,black,0,282,690,717
00M40S_1678089640_18_jpg.rf.6997da7e6c2f946f8f601174173ea76f.jpg,1678089640,sweatshirt,black,2,301,805,720
00M40S_1678089640_19_jpg.rf.fa7764f5bbe7666f33744856769de8a5.jpg,1678089640,sweatshirt,black,0,303,806,719
00M40S_1678089640_1_jpg.rf.30cc83308a75571403c3602510ff6308.jpg,1678089640,sweatshirt,black,0,286,726,591
00M40S_1678089640_20_jpg.rf.0d8ffa8457b8aa64e8a94fdf470d8804.jpg,1678089640,sweatshirt,black,0,308,806,720
00M40S_1678089640_21_jpg.rf.64baa0d632ff578beda77defe2198210.jpg,1678089640,sweatshirt,black,0,286,696,642
00M40S_1678089640_22_jpg.rf.5940e02971bfd10607b9c5caffc22b29.jpg,1678089640,sweatshirt,black,0,278,812,567
00M40S_1678089640_23_jpg.rf.35f53ae69e76d1d650397af455ee1321.jpg,1678089640,sweatshirt,black,0,284,698,636
00M40S_1678089640_24_jpg.rf.172add0a84b1c96e3aeef6f48f3df150.jpg,1678089640,sweatshirt,black,0,299,811,581
00M40S_1678089640_25_jpg.rf.e2ba088894470d1eac93595bea90dcc3.jpg,1678089640,sweatshirt,black,0,299,812,577
00M40S_1678089640_30_jpg.rf.6f28752f66c119cd46f165560b491223.jpg,1678089640,sweatshirt,black,0,299,812,571
00M40S_1678089640_31_jpg.rf.65610ff789529f4f5e8c09be2e486043.jpg,1678089640,sweatshirt,black,0,134,599,537
00M40S_1678089640_33_jpg.rf.d84bc3fdd57afcda5ec291e436453efb.jpg,1678089640,sweatshirt,black,146,0,532,304
00M40S_1678089640_36_jpg.rf.8f12f67a5587053d262ea42dc74c58eb.jpg,1678089640,sweatshirt,black,0,288,852,710
00M40S_1678089640_3_jpg.rf.3ab31328cdb15526d334a0c429d922bd.jpg,1678089640,sweatshirt,black,0,298,849,680
00M40S_1678089640_5_jpg.rf.d4e2452e0d64c1265c75247e39fe8399.jpg,1678089640,sweatshirt,black,0,300,626,678
00M40S_1678089640_6_jpg.rf.211f504502b3f4d7b49ce655b562d9f1.jpg,1678089640,sweatshirt,black,0,297,649,676
00M40S_1678089640_9_jpg.rf.6d9208a4f100b6592fa60fe40b83d903.jpg,1678089640,sweatshirt,black,0,267,713,594
00M49S_1678366849_11_jpg.rf.1b6237a3798b8d12935ffbcbd1318f1b.jpg,1678366849,tshirt,white,383,178,994,390
00M49S_1678366849_12_jpg.rf.c977822cc2fd3dad191722cf2358bcab.jpg,1678366849,tshirt,white,546,217,990,468
00M49S_1678366849_13_jpg.rf.a574b2cd9ec62195738cc2c29e2c959f.jpg,1678366849,tshirt,white,482,0,1055,415
00M49S_1678366849_14_jpg.rf.4dc7f22801a201701d2a4c50eb820ef8.jpg,1678366849,tshirt,white,420,218,1056,669
00M49S_1678366849_15_jpg.rf.3d66075350f671703306581d295e94b1.jpg,1678366849,tshirt,white,418,176,1054,646
00M49S_1678366849_18_jpg.rf.c5ac5331ca2142742bac80634612e254.jpg,1678366849,tshirt,white,388,0,1019,520
00M49S_1678366849_24_jpg.rf.6a97cf8d960c7a48913db570f5fca47e.jpg,1678366849,tshirt,white,409,190,983,684
00M49S_1678366849_25_jpg.rf.82b5df896ab2b2173d80755de8c6e65d.jpg,1678366849,tshirt,white,408,191,984,684
00M49S_1678366849_26_jpg.rf.e8a6a6ab57bec0cf1012e304d4dccc15.jpg,1678366849,tshirt,white,405,193,986,685
00M49S_1678366849_27_jpg.rf.1c755fd51c9750b345419865e291c711.jpg,1678366849,tshirt,white,409,191,985,682
00M49S_1678366849_2_jpg.rf.8b4b3707301ebe2f97ab579800df5159.jpg,1678366849,tshirt,white,531,0,716,184
00M49S_1678366849_31_jpg.rf.e426c89e11c8423b79861134034a10d4.jpg,1678366849,tshirt,white,444,182,1004,400
00M49S_1678366849_33_jpg.rf.0b46a1207ff695c4a7e89d20a4d31af7.jpg,1678366849,tshirt,white,439,180,1004,401
00M49S_1678366849_34_jpg.rf.8a864eb3fc3c2b92b374f7cb80a55045.jpg,1678366849,tshirt,white,443,181,1005,402
00M49S_1678366849_37_jpg.rf.58ad2e9e9528e77ca9ea24e48475165a.jpg,1678366849,tshirt,white,437,180,1002,403
00M49S_1678366849_39_jpg.rf.c79122bc7af730f465cf48c24593c684.jpg,1678366849,tshirt,white,404,169,1003,401
00M49S_1678366849_3_jpg.rf.89498105b32ec7c582d4cb0a3a54ad02.jpg,1678366849,tshirt,white,378,180,1002,396
00M49S_1678366849_4_jpg.rf.e5c81a0a698b9bbca40dd65d9ac86622.jpg,1678366849,tshirt,white,381,174,1003,398
00M49S_1678366849_5_jpg.rf.b4560d23fd5fe0aae0954ed33cf21478.jpg,1678366849,tshirt,white,381,179,992,395
00M49S_1678366849_8_jpg.rf.b5a932fc5bdddcb1f5b848bd878ddabb.jpg,1678366849,tshirt,white,380,177,993,392
00M52S_1678168852_0_jpg.rf.ee81334b513572b3f85b494b31ebfbb2.jpg,1678168852,sweatshirt,pink,0,275,752,594
00M52S_1678168852_10_jpg.rf.997bde66713b06a9e649331764b556a5.jpg,1678168852,sweatshirt,pink,0,275,768,572
00M52S_1678168852_12_jpg.rf.c6807d5f2b365645f97c5b0a170ecb5d.jpg,1678168852,sweatshirt,pink,0,278,749,572
00M52S_1678168852_13_jpg.rf.8741a3987c7b52f05ad3df7b9627c701.jpg,1678168852,sweatshirt,pink,2,293,755,584
00M52S_1678168852_14_jpg.rf.4cd5ab2d1dbe1e6332f10191daaa3fb1.jpg,1678168852,sweatshirt,pink,0,273,770,573
00M52S_1678168852_17_jpg.rf.17be3b3554582c661a10f58c79a7733c.jpg,1678168852,sweatshirt,pink,4,271,766,581
00M52S_1678168852_19_jpg.rf.7d5feb55556250eddb0a331c37d22b85.jpg,1678168852,sweatshirt,pink,0,257,766,569
00M52S_1678168852_22_jpg.rf.1a4effb6dc4687a05df420b438a4234b.jpg,1678168852,sweatshirt,pink,0,280,813,720
00M52S_1678168852_23_jpg.rf.619eaa226c36e17010da7f6a20b8af5d.jpg,1678168852,sweatshirt,pink,0,281,818,720
00M52S_1678168852_26_jpg.rf.cd792ef8e7982e7d4f88a6abde02649e.jpg,1678168852,sweatshirt,pink,0,274,812,720
00M52S_1678168852_28_jpg.rf.fcd3aad1c28ad8f8bcb8d36524e76202.jpg,1678168852,sweatshirt,pink,0,281,810,720
00M52S_1678168852_29_jpg.rf.d3fc23457cf14589d4b95540cf28698b.jpg,1678168852,sweatshirt,pink,0,288,814,720
00M52S_1678168852_2_jpg.rf.3a4a89611059b31b5367fbc778a38f26.jpg,1678168852,sweatshirt,pink,266,287,760,575
00M52S_1678168852_30_jpg.rf.befe5adfd723da7be5a2608c4cafe2da.jpg,1678168852,sweatshirt,pink,0,285,811,720
00M52S_1678168852_31_jpg.rf.ad180b9e8bdda90132362802f57d4971.jpg,1678168852,sweatshirt,pink,0,287,811,719
00M52S_1678168852_34_jpg.rf.1c243ff78230d9a32d98f071d173b10a.jpg,1678168852,sweatshirt,pink,0,282,811,720
00M52S_1678168852_36_jpg.rf.27600eb0e12cb4fbf7e0882a27af4736.jpg,1678168852,sweatshirt,pink,0,298,833,610
00M52S_1678168852_37_jpg.rf.a7cac61d0f2b0a80d72c401b3897d00b.jpg,1678168852,sweatshirt,pink,0,304,834,608
00M52S_1678168852_38_jpg.rf.ea7345ed55a86867186cc747fbdc03db.jpg,1678168852,sweatshirt,pink,0,306,834,606
00M52S_1678168852_39_jpg.rf.e0e0c880d0e0970c10bf4e9a4b79a17a.jpg,1678168852,sweatshirt,pink,0,276,745,577
